content_id,category,title_ne,title_en,published_date_raw,bs_date_guess,pdf_url,sha256,retrieved_at
77,inter-government-financial-transfer,अन्तर सरकारी वित्तीय हस्तान्तरण २०८१/८२,,"जेठ १८, २०८१, शुक्रबार ७:१८",2081-02-18,https://giwmscdnone.gov.np/media/pdf_upload/1717162262_%E0%A4%85%E0%A4%A8%E0%A5%8D%E0%A4%A4%E0%A4%B0%20%E0%A4%B8%E0%A4%B0%E0%A4%95%E0%A4%BE%E0%A4%B0%E0%A5%80%20%E0%A4%B5%E0%A4%BF%E0%A4%A4%E0%A5%8D%E0%A4%A4%E0%A5%80%E0%A4%AF%20%E0%A4%B9%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%BE%E0%A4%A8%E0%A5%8D%E0%A4%A4%E0%A4%B0%E0%A4%A3%20%E0%A5%A8%E0%A5%A6%E0%A5%AE%E0%A5%A7-%E0%A5%AE%E0%A5%A8_nbaja9d.pdf,5ae6097fa2c90fbdd12a40263d41e2bb7ed7a98ee9b8a091a9b5041aee997443,2026-09-03T17:01:59.704733+00:00
81,redbook,व्यय अनुमानको विवरण (रातो किताब) २०७९/८०,,"पुष २७, २०८१, शनिबार २१:२४",2081-09-27,https://giwmscdnone.gov.np/media/pdf_upload/Redbook%20(Final)_2079%3A80_uryb8ga.pdf,cc9ca02852a21284a34c9deb7bddaf75af708ed4b7851957fe9b41bf5d8e8f28,2026-09-03T16:48:34.368286+00:00
82,redbook,व्यय अनुमानको विवरण (रातो किताब) २०८०/८१,,"पुष २७, २०८१, शनिबार २१:२४",2081-09-27,https://giwmscdnone.gov.np/media/pdf_upload/Redbook_2080%3A81_vqjjhx7.pdf,e3271a9c360b9db0637b99eff7a9435db1ee04adf30fa898f48d8b512d7e2f81,2026-09-03T16:48:31.030663+00:00
83,redbook,व्यय अनुमानको विवरण (रातो किताब) २०८१-८२,,"पुष २७, २०८१, शनिबार २१:२५",2081-09-27,https://giwmscdnone.gov.np/media/pdf_upload/%E0%A4%B5%E0%A5%8D%E0%A4%AF%E0%A4%AF%20%E0%A4%85%E0%A4%A8%E0%A5%81%E0%A4%AE%E0%A4%BE%E0%A4%A8%E0%A4%95%E0%A5%8B%20%E0%A4%B5%E0%A4%BF%E0%A4%B5%E0%A4%B0%E0%A4%A3%20(%E0%A4%B0%E0%A4%BE%E0%A4%A4%E0%A5%8B%20%E0%A4%95%E0%A4%BF%E0%A4%A4%E0%A4%BE%E0%A4%AC)%20%E0%A5%A8%E0%A5%A6%E0%A5%AE%E0%A5%A7-%E0%A5%AE%E0%A5%A8_k3ip15v.pdf,851f3419ba4d9ea1423e2b4b040864f699f4359ec5dcd84637f6411eff65c4b3,2026-09-03T16:48:27.547107+00:00
147,inter-government-financial-transfer,आर्थिक वर्ष २०८०।८१ को लागि स्थानीय तहलाई अन्तर सरकारी वित्तीय हस्तान्तरण सम्बन्धी व्यवस्था र मार्गदर्शन ।,,"साउन १२, २०८०, शुक्रबार ७:३३",2080-04-12,https://giwmscdnone.gov.np/media/pdf_upload/1690364851_753%20Local%20Governments%20%20margadarsan%202080_vr8b4v1.pdf,99467bf1605a0a7fb6a63618416e2184e91399f8ab6eee61aff7c116a85d21f6,2026-09-03T17:02:13.036624+00:00
148,inter-government-financial-transfer,आ.व. २०८०/८१ को लागि कोशी प्रदेशलाई अन्तर सरकारी वित्तीय हस्तान्तरण कार्यान्वयन सम्बन्धी व्यवस्था र मार्गदर्शन।,,"साउन १२, २०८०, शुक्रबार ७:३४",2080-04-12,https://giwmscdnone.gov.np/media/pdf_upload/1690527883_Koshi%20Pradesh%20%20margadarsan%202080_khaxayl.pdf,6e0042e6867b5cac559e85426794a4d18b291fd8586629b5fa9d2809ddfa98a7,2026-09-03T17:02:09.986924+00:00
149,inter-government-financial-transfer,आ.व. २०८०/८१ को लागि मधेश प्रदेशलाई अन्तर सरकारी वित्तीय हस्तान्तरण कार्यान्वयन सम्बन्धी व्यवस्था र मार्गदर्शन।,,"साउन १२, २०८०, शुक्रबार ७:३५",2080-04-12,https://giwmscdnone.gov.np/media/pdf_upload/1690527948_Madhes%20Pradesh%20%20margadarsan%202080_f5jpcvu.pdf,8c9d77766823b1acf5881800490590f627d2863836296e1d4dc84ad8b70bacac,2026-09-03T17:02:06.453204+00:00
150,inter-government-financial-transfer,आ.व. २०८०/८१ को लागि बागमती प्रदेशलाई अन्तर सरकारी वित्तीय हस्तान्तरण कार्यान्वयन सम्बन्धी व्यवस्था र मार्गदर्शन।,,"साउन १२, २०८०, शुक्रबार ७:३७",2080-04-12,https://giwmscdnone.gov.np/media/pdf_upload/1690528005_Bagmati%20Pradesh%20%20margadarsan%202080_ucyihvr.pdf,7b9b8434d9d06c511b271c7014b761b0b1f5dfe8ef8152a9dec97fe6bc061167,2026-09-03T17:02:02.478675+00:00
151,half-yearly-elemental-assessment,"बजेटको अर्धवार्षिक मूल्याङ्कन प्रतिवेदन, २०८०/८१",,"२८ पुष, २०८१",2081-09-28,https://giwmscdnone.gov.np/media/pdf_upload/1707736487_MOF_(Mid%20Term%202080-81%20Book%20final%20for%20WEB_8fybhcl.pdf,1ddd021994574a8d9b92916ab061b842758ebbd6166d0f55c019b8ba782952b0,2026-09-03T17:04:22.213592+00:00
152,half-yearly-elemental-assessment,"बजेटको अर्धवार्षिक मूल्याङ्कन प्रतिवेदन, २०७९/८०",,"२८ पुष, २०८१",2081-09-28,https://giwmscdnone.gov.np/media/pdf_upload/1676196449_%E0%A4%85%E0%A4%B0%E0%A5%8D%E0%A4%A7%E0%A4%B5%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%B7%E0%A4%BF%E0%A4%95%20%E0%A4%B8%E0%A4%AE%E0%A4%BF%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%BE%202079_80_10_29_2_45%20Final_hn4tjme.pdf,800d69e2a449746f3456e6745de1605bf0ad6bdcbfd8e4a327745dca570b94cc,2026-09-03T17:04:19.150057+00:00
153,half-yearly-elemental-assessment,"बजेटको अर्धवार्षिक मूल्याङ्कन प्रतिवेदन, २०७८/७९",,"२८ पुष, २०८१",2081-09-28,https://giwmscdnone.gov.np/media/pdf_upload/1644487946_%E0%A4%85%E0%A4%B0%E0%A5%8D%E0%A4%A7%E0%A4%B5%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%B7%E0%A4%BF%E0%A4%95%20%E0%A4%B8%E0%A4%AE%E0%A4%BF%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%BE%202078%20compile_kk5kvsz.pdf,bbef291882719d5d25b15b45b151c4d83a75e7d96db53521c9b275d436f06d08,2026-09-03T17:04:16.109139+00:00
154,half-yearly-elemental-assessment,"बजेटको अर्धवार्षिक समीक्षा प्रतिवेदन, २०७७/७८",,"२८ पुष, २०८१",2081-09-28,https://giwmscdnone.gov.np/media/pdf_upload/1637138159_Mid%20Term%202077_dceuytp.pdf,bd89721e6169ccb2f74a005f48b04ea15d7669ce4a89bb5939ed07a15a25f9b0,2026-09-03T17:04:13.376713+00:00
155,half-yearly-elemental-assessment,प्रेस नोट (२०७७ माघ १० गते) - [ बजेटको अर्धवार्षिक समीक्षा],,"८ माघ, २०७७",2077-10-08,https://giwmscdnone.gov.np/media/pdf_upload/Press%20note-%202077-10-10-%20Mid%20Term%20Review%20of%20Budget%20(1)_20210125014504_dis8oad.pdf,1d85425b9510bb6052e50ae4cdac2ba30d16d2766e55d97892bacb35acb217b7,2026-09-03T17:04:25.237135+00:00
169,budget-speech,बजेट वक्तव्य २०७८/७९,,"मंसिर २६, २०७८, सोमबार ५:२१",2078-08-26,https://giwmscdnone.gov.np/media/pdf_upload/Budget%20Speech%20(Final)%20Full_20210530100738_o9tp90b.pdf,672bb09f00f521450552d1be9884b9664e2af0bdf79068f71a78f4f5cbb988bc,2026-09-03T16:48:07.022245+00:00
170,budget-speech,बजेट वक्तव्य २०७७/७८,,"जेठ ६, २०७७, बुधबार ५:२४",2077-02-06,https://giwmscdnone.gov.np/media/pdf_upload/%E0%A4%AC%E0%A4%9C%E0%A5%87%E0%A4%9F_%E0%A4%B5%E0%A4%95%E0%A5%8D%E0%A4%A4%E0%A4%B5%E0%A5%8D%E0%A4%AF_%E0%A5%A8%E0%A5%A6%E0%A5%AD%E0%A5%AD_website_20201118075339_gwig8z0.pdf,6cba933e236c2fa93fba79d4721445a7c9fa6d976812a1e31b844dc5cebbb93b,2026-09-03T16:48:18.724910+00:00
171,budget-speech,बजेट वक्तव्य २०७६/७७,,"असार ३, २०७६, बुधबार ५:२५",2076-03-03,https://giwmscdnone.gov.np/media/pdf_upload/%E0%A4%AC%E0%A4%9C%E0%A5%87%E0%A4%9F%20%E0%A4%B5%E0%A4%95%E0%A5%8D%E0%A4%A4%E0%A4%B5%E0%A5%8D%E0%A4%AF%20%E0%A5%A8%E0%A5%A6%E0%A5%AD%E0%A5%AC_20190603122910_wbmhqhg.pdf,e117acc041bf5ab40d1235e5ada25494dc1b7ab6e514ba44b8f666b621dcd222,2026-09-03T16:48:24.217870+00:00
173,whitebook,Source Book: White Book FY 2020-21,,"असार ७, २०७७, सोमबार ५:४३",2077-03-07,https://giwmscdnone.gov.np/media/pdf_upload/source_book_final_20200623051728_qypntp8.pdf,6bc7eace7ea8b31bf93d081d42854be52dce8937925c76b7ccea74db9e6aebc6,2026-09-03T16:49:43.618758+00:00
174,whitebook,Source Book: White Book FY 2015-16,,"असार २९, २०७२, मंगलबार ५:४६",2072-03-29,https://giwmscdnone.gov.np/media/pdf_upload/source_book_20150714124835_jzitx4k.pdf,6830f955d6773926c2a2d70bcfff4e8c82e1fc446cc465e89af255f9c9d46810,2026-09-03T16:49:50.123023+00:00
210,economic-survey,आर्थिक सर्वेक्षण २०८०/८१,,"१ माघ, २०८१",2081-10-01,https://giwmscdnone.gov.np/media/pdf_upload/1717566409_Economic%20Survey%202080_81_qfdhxbg.pdf,78a5d12d0403ace350819052b3c2ba84989c03e68275b66bb666c21757c783ec,2026-09-03T16:46:27.952267+00:00
211,economic-survey,Economic Survey (English Version) 2022/23,,"१ माघ, २०८१",2081-10-01,https://giwmscdnone.gov.np/media/pdf_upload/1710323031_Economic%20Survey%20Engslish%202022-23%20Eng%20Final%20for%20WEB_abbomfw.pdf,25c6b1f95895ba8d2445200fcd866ea949a1aa8db9ee4af1683ca380fc2fa206,2026-09-03T16:46:21.557663+00:00
212,economic-survey,आर्थिक सर्वेक्षण २०७८/७९,,"२९ पुष, २०८१",2081-09-29,https://giwmscdnone.gov.np/media/pdf_upload/1653758845_%E0%A4%86%E0%A4%B0%E0%A5%8D%E0%A4%A5%E0%A4%BF%E0%A4%95%20%E0%A4%B8%E0%A4%B0%E0%A5%8D%E0%A4%B5%E0%A5%87%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%A3%20%E0%A5%A8%E0%A5%A6%E0%A5%AD%E0%A5%AE_%E0%A5%AD%E0%A5%AF_morioyx.pdf,3dfaf867047f1403d8971c2b6f5f159bee50b2412f04e766d6c03e9b0190312a,2026-09-03T16:46:38.467146+00:00
213,economic-survey,आर्थिक सर्वेक्षण २०७८/७९ सारांश,,"२९ पुष, २०८१",2081-09-29,https://giwmscdnone.gov.np/media/pdf_upload/1653757350_%E0%A4%86%E0%A4%B0%E0%A5%8D%E0%A4%A5%E0%A4%BF%E0%A4%95%20%E0%A4%B8%E0%A4%B0%E0%A5%8D%E0%A4%B5%E0%A5%87%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%A3%20%E0%A5%A8%E0%A5%A6%E0%A5%AD%E0%A5%AE_%E0%A5%AD%E0%A5%AF%20%E0%A4%B8%E0%A4%BE%E0%A4%B0%E0%A4%BE%E0%A4%82%E0%A4%B6_n1lcn1g.pdf,97abec748e6d71fafe7061df96f328760ee093d0b5944808ad5bf7873832ef00,2026-09-03T16:46:33.831326+00:00
214,economic-survey,Economic Survey 2021/22,,"२८ पुष, २०८१",2081-09-28,https://giwmscdnone.gov.np/media/pdf_upload/1674635120_Economic_Survey_2022_piyux3h.pdf,40dac0053f9f05f6535ca82b17f386c742c6e7ab4d9ff2c296c400e0fb13bb37,2026-09-03T16:47:08.907925+00:00
